src,dst,w
fr,es,694.0
cn,us,7937.0
kr,kr,0.0
mx,es,729.0
be,it,178.0
mx,cn,17.0
es,gr,42.0
br,de,528.0
kr,be,22.0
pl,us,226.0
in,de,770.0
fr,mx,119.0
gb,pt,545.0
pk,ie,29.0
in,au,458.0
nl,ch,252.0
de,ie,108.0
ng,us,310.0
gr,cn,9.0
ch,fi,39.0
bd,my,175.0
es,cl,547.0
id,se,26.0
gb,pl,174.0
ca,br,279.0
in,nl,212.0
br,fr,697.0
fi,us,171.0
au,pk,39.0
fr,ca,574.0
id,gb,298.0
cl,co,180.0
gb,ng,342.0
gb,se,430.0
gb,ec,84.0
in,ie,147.0
es,ch,288.0
ua,ru,176.0
in,fr,303.0
br,au,254.0
se,pt,54.0
pe,us,318.0
se,gb,373.0
cn,dk,236.0
jp,ch,84.0
nl,gr,41.0
cn,kr,255.0
nl,at,74.0
es,at,135.0
pk,de,128.0
tr,pk,19.0
pk,au,181.0
pk,fr,48.0
cn,be,164.0
mx,ca,138.0
de,au,386.0
us,bd,94.0
ir,tw,7.0
kr,dk,24.0
us,fi,134.0
ng,kr,12.0
br,ie,114.0
gb,id,180.0
gb,pe,53.0
nl,tr,91.0
fi,be,36.0
fr,cn,358.0
cl,us,285.0
br,nl,236.0
gb,eg,160.0
co,tw,3.0
pt,ar,24.0
bd,it,22.0
it,ar,41.0
ar,nl,14.0
tr,ir,25.0
pl,dk,37.0
au,tw,33.0
fr,in,130.0
se,ec,2.0
ie,my,25.0
gr,es,76.0
my,us,127.0
fi,dk,49.0
pt,it,199.0
us,ru,97.0
ca,ru,14.0
pt,jp,23.0
be,my,6.0
ru,ir,7.0
be,ar,6.0
nl,za,70.0
se,eg,7.0
pe,co,85.0
es,tr,51.0
jp,at,35.0
ca,fi,38.0
za,ch,45.0
ch,br,67.0
jp,za,15.0
it,jp,74.0
id,pl,8.0
nl,cl,39.0
eg,ch,20.0
se,id,16.0
eg,at,14.0
pk,nl,18.0
pe,dk,4.0
mx,in,16.0
au,ir,40.0
tw,ch,23.0
be,jp,42.0
es,za,29.0
ar,de,73.0
gb,ua,28.0
ca,bd,39.0
tw,za,5.0
za,tr,4.0
ar,fr,96.0
pl,kr,9.0
eg,tr,31.0
my,dk,13.0
gr,ca,26.0
dk,it,69.0
se,ua,8.0
pl,be,63.0
jp,tr,16.0
ng,be,10.0
at,br,33.0
ch,bd,7.0
ie,it,43.0
cn,co,11.0
dk,jp,24.0
jp,gr,1.0
my,kr,36.0
ie,jp,17.0
za,at,10.0
tw,tr,5.0
it,my,10.0
pe,be,15.0
dk,my,11.0
ar,au,13.0
at,ru,14.0
eg,gr,4.0
my,be,6.0
jp,cl,10.0
tw,cl,2.0
se,pl,22.0
ua,fi,15.0
bd,ar,1.0
ua,br,4.0
eg,za,11.0
se,pe,2.0
se,ng,3.0
gr,in,4.0
ir,pk,3.0
at,fi,34.0
ch,ru,22.0
ru,pk,3.0
cl,be,14.0
pe,kr,9.0
id,pt,7.0
ar,ie,3.0
fi,kr,13.0
fi,co,4.0
tr,tw,10.0
cl,dk,9.0
ec,tw,3.0
co,ir,1.0
ng,dk,6.0
cl,kr,2.0
kr,co,3.0
ru,tw,3.0
tw,at,5.0
co,pk,1.0
dk,ar,3.0
pl,co,1.0
eg,cl,1.0
za,cl,3.0
pt,my,2.0
gr,mx,2.0
at,bd,1.0
id,ua,1.0
