src,dst,w
cn,pl,39.0
fi,pl,16.0
za,br,14.0
ng,id,3.0
at,tr,38.0
jp,ru,18.0
de,my,24.0
at,ch,170.0
ua,tr,18.0
co,cn,12.0
fr,ir,23.0
cn,eg,34.0
ua,at,22.0
au,mx,28.0
ru,in,27.0
cn,id,32.0
ca,cl,45.0
ca,za,38.0
fi,ua,1.0
ca,at,38.0
pe,se,8.0
tr,cn,29.0
cn,pe,7.0
id,dk,6.0
es,bd,8.0
tr,in,15.0
bd,fr,16.0
ng,se,6.0
ru,mx,11.0
ch,cl,13.0
se,co,14.0
kr,se,30.0
ir,in,27.0
nl,bd,16.0
ng,pe,1.0
my,ec,2.0
cn,ua,16.0
za,ru,4.0
tw,fi,7.0
dk,ie,18.0
ar,jp,5.0
cl,pl,6.0
at,za,7.0
ua,gr,6.0
kr,pe,9.0
co,in,3.0
fi,id,5.0
bd,nl,39.0
gr,pk,1.0
kr,pl,9.0
kr,ec,7.0
ua,cl,1.0
ng,pl,5.0
fi,eg,6.0
my,eg,6.0
tw,ru,2.0
fi,ng,1.0
ec,cn,18.0
fi,ec,1.0
my,pt,3.0
my,ua,1.0
kr,ng,6.0
ng,ua,4.0
za,fi,10.0
ec,in,3.0
pk,ar,1.0
pl,pe,1.0
at,cl,3.0
tw,bd,1.0
cl,id,1.0
tr,mx,2.0
eg,fi,8.0
gr,tw,1.0
in,ar,2.0
fi,pt,20.0
eg,br,2.0
cn,ec,5.0
br,my,2.0
mx,pk,1.0
pl,ec,1.0
pe,ng,1.0
pl,ng,2.0
ir,mx,1.0
mx,tw,3.0
cl,ua,1.0
tw,br,1.0
my,pe,1.0
pe,eg,1.0
eg,bd,1.0
kr,ua,1.0
my,pl,2.0
br,br,0.0
ir,se,65.0
jp,jp,0.0
ec,ec,0.0
ru,pt,18.0
ca,ie,79.0
cn,cn,0.0
es,jp,71.0
us,de,1645.0
ca,au,302.0
cn,ca,793.0
us,au,1117.0
ch,au,124.0
ar,br,209.0
de,br,345.0
mx,us,711.0
ca,de,259.0
us,fr,957.0
au,gb,1013.0
gr,us,197.0
pe,es,506.0
fr,dk,119.0
ru,ua,76.0
co,ec,129.0
at,de,551.0
tw,jp,123.0
gb,pk,243.0
fi,in,24.0
us,ie,300.0
fr,us,1406.0
my,cn,75.0
za,jp,21.0
nl,it,228.0
fr,be,373.0
it,ch,616.0
ru,ec,22.0
mx,co,522.0
tr,pt,41.0
ng,cn,104.0
ir,pt,51.0
ie,at,13.0
cl,ca,42.0
de,ru,101.0
be,ch,133.0
fi,cn,52.0
es,it,597.0
ch,fr,394.0
au,ng,11.0
ch,de,690.0
fr,co,174.0
ru,gb,156.0
pe,ca,25.0
us,nl,577.0
cn,es,200.0
ua,de,115.0
gr,be,78.0
kr,in,187.0
at,au,62.0
ec,gb,98.0
it,at,206.0
it,za,27.0
br,fi,57.0
tr,pl,77.0
pe,mx,101.0
mx,be,29.0
fr,kr,66.0
in,bd,49.0
ua,fr,50.0
ru,eg,11.0
eg,jp,137.0
se,ir,20.0
gb,tw,125.0
ch,ie,25.0
pt,ch,118.0
pl,es,94.0
ca,fr,359.0
ca,nl,142.0
tr,gb,480.0
gr,dk,53.0
es,ar,264.0
in,fi,78.0
cn,in,75.0
tw,my,17.0
kr,cn,222.0
at,fr,71.0
ie,gr,8.0
nl,ar,7.0
in,ru,39.0
tr,se,77.0
cl,es,560.0
ng,in,80.0
co,gb,172.0
au,id,235.0
ch,nl,153.0
ec,pe,191.0
pl,ca,31.0
be,tr,38.0
eg,my,52.0
kr,ca,103.0
in,br,45.0
bd,ch,6.0
es,my,6.0
dk,at,26.0
ie,tr,12.0
ir,gb,117.0
my,in,91.0
be,at,51.0
ru,id,8.0
nl,jp,61.0
co,pe,97.0
my,ca,40.0
at,nl,68.0
au,ec,46.0
pt,at,50.0
jp,my,87.0
mx,dk,17.0
id,tw,242.0
it,gr,68.0
ru,pl,51.0
de,fi,138.0
dk,ch,80.0
pl,cn,34.0
pt,gr,18.0
gb,ir,70.0
fi,es,46.0
fi,mx,4.0
ng,es,14.0
eg,it,65.0
de,bd,54.0
tr,ng,15.0
ie,ch,32.0
pk,fi,34.0
au,se,100.0
co,pt,32.0
it,cl,47.0
jp,it,47.0
