src,dst,w
jp,ch,82.0
nl,gr,47.0
ca,br,148.0
cl,us,266.0
nl,za,36.0
it,ar,17.0
gb,pt,267.0
pe,us,308.0
cn,be,240.0
us,fi,157.0
fr,ca,407.0
pe,co,86.0
my,us,131.0
pk,au,196.0
fr,in,91.0
gb,id,104.0
se,ng,2.0
ng,be,11.0
be,jp,38.0
es,at,112.0
es,gr,51.0
dk,my,5.0
ie,it,58.0
at,fi,34.0
us,ru,40.0
ng,kr,27.0
jp,at,32.0
pl,be,74.0
ch,br,54.0
fr,cn,219.0
cn,co,5.0
bd,it,29.0
ar,ie,8.0
cl,be,20.0
jp,za,10.0
pt,it,184.0
fr,mx,47.0
ca,bd,29.0
it,my,7.0
fi,us,130.0
tr,pk,26.0
cl,co,69.0
nl,at,94.0
gb,pe,36.0
ir,tw,11.0
es,tr,36.0
za,ch,39.0
kr,be,48.0
fi,dk,48.0
kr,dk,18.0
be,it,227.0
br,ie,78.0
nl,tr,44.0
pl,us,258.0
ca,fi,38.0
it,jp,72.0
au,pk,28.0
pk,fr,46.0
se,pt,55.0
pk,nl,23.0
ua,ru,43.0
au,tw,28.0
eg,tr,16.0
my,kr,20.0
au,ir,9.0
ir,pk,7.0
ar,au,20.0
ar,fr,54.0
ie,my,14.0
pt,jp,15.0
id,pl,12.0
ru,tw,6.0
ch,bd,6.0
id,se,21.0
be,ar,5.0
nl,cl,24.0
gb,ua,17.0
fi,kr,12.0
id,ec,1.0
tr,ir,20.0
kr,co,5.0
be,my,6.0
ua,fi,17.0
at,bd,4.0
at,br,27.0
gb,ec,18.0
mx,in,14.0
mx,cn,13.0
my,be,5.0
gr,ca,7.0
ng,dk,2.0
dk,jp,12.0
za,at,8.0
gr,cn,12.0
my,dk,4.0
se,id,9.0
pt,ar,4.0
se,pl,24.0
jp,gr,4.0
eg,gr,3.0
gr,in,5.0
es,za,14.0
at,ru,4.0
pt,my,5.0
ar,nl,17.0
tw,tr,6.0
cl,dk,9.0
eg,za,5.0
fi,co,3.0
tr,tw,7.0
jp,tr,17.0
pe,dk,1.0
se,eg,5.0
ua,br,5.0
ch,ru,3.0
jp,cl,8.0
id,ng,1.0
ru,ir,3.0
co,tw,5.0
ca,ru,4.0
tw,at,5.0
eg,at,3.0
za,gr,2.0
ru,pk,3.0
pl,kr,13.0
dk,ar,2.0
za,tr,1.0
tw,cl,1.0
se,pe,2.0
pe,kr,2.0
za,cl,1.0
cl,kr,3.0
id,eg,1.0
se,ua,5.0
id,pt,1.0
tw,gr,1.0
tw,za,2.0
ec,tw,1.0
pl,co,1.0
