src,dst,w
cn,id,32.0
ie,au,73.0
za,br,8.0
cn,ua,19.0
nl,br,64.0
ec,in,2.0
ca,cl,26.0
at,cl,7.0
id,kr,128.0
fi,id,1.0
cl,pl,7.0
de,my,21.0
my,se,9.0
se,co,8.0
be,ie,33.0
ua,at,21.0
ru,mx,10.0
gr,tw,3.0
ca,gr,15.0
kr,pt,9.0
id,dk,7.0
jp,br,23.0
de,ar,24.0
ir,in,9.0
pl,eg,6.0
es,ru,7.0
pe,pt,5.0
tw,br,2.0
ru,in,23.0
bd,nl,30.0
cn,ng,20.0
tw,fi,9.0
nl,ru,3.0
fr,pk,6.0
pl,pt,32.0
ng,pt,15.0
ru,ca,29.0
my,pt,5.0
pe,pl,6.0
co,in,5.0
cl,eg,1.0
se,kr,13.0
cn,pe,3.0
ar,jp,4.0
cl,se,13.0
in,ar,4.0
ng,eg,12.0
kr,ua,2.0
pe,se,9.0
ng,ua,2.0
cn,ec,4.0
kr,eg,7.0
eg,fi,12.0
kr,ng,3.0
ir,mx,3.0
ua,tr,6.0
es,bd,3.0
eg,br,4.0
mx,tw,6.0
tr,in,8.0
fi,ec,1.0
ec,cn,5.0
co,cn,8.0
tw,bd,2.0
ua,za,1.0
tr,mx,3.0
pl,pe,2.0
ar,my,1.0
br,my,1.0
cl,id,1.0
za,ru,3.0
pe,ng,1.0
ua,cl,1.0
pl,ng,1.0
pe,id,1.0
fi,pe,1.0
br,br,0.0
jp,jp,0.0
cn,cn,0.0
us,au,667.0
fr,us,916.0
us,de,1203.0
us,nl,511.0
ec,ec,0.0
cl,es,511.0
at,de,591.0
us,fr,657.0
fr,kr,35.0
pl,ca,46.0
ec,gb,28.0
pe,mx,147.0
in,fi,147.0
es,it,691.0
co,gb,103.0
ca,fr,269.0
ua,de,158.0
co,pt,31.0
ng,ca,130.0
ch,de,724.0
mx,us,644.0
cl,mx,108.0
cn,es,233.0
it,ch,508.0
ch,fr,411.0
in,bd,73.0
cn,in,91.0
be,tr,30.0
ie,tr,8.0
au,gb,728.0
jp,it,66.0
tw,jp,115.0
nl,it,296.0
ua,fr,36.0
kr,cn,274.0
fr,be,393.0
de,fi,162.0
us,ie,250.0
it,gr,50.0
id,tw,157.0
mx,co,354.0
ca,au,194.0
es,ar,167.5
fi,es,76.0
pk,fi,80.0
it,tr,57.0
it,at,202.0
ir,gb,322.0
gb,ir,26.0
au,id,114.0
ng,cn,66.0
fr,dk,129.0
fr,co,42.0
cn,ca,437.0
pt,at,51.0
co,ec,80.0
de,bd,19.0
pl,cn,28.0
tr,gb,513.0
my,cn,181.0
ca,de,241.0
au,pt,15.0
pt,ch,96.0
co,pe,88.0
co,se,21.0
kr,ca,97.0
eg,my,18.0
pe,es,393.0
ar,br,144.0
be,at,63.0
mx,be,22.0
ie,ch,32.0
ru,gb,114.0
tr,eg,6.0
at,nl,78.0
se,tw,4.0
es,jp,65.0
tr,se,66.0
de,br,211.0
cl,ca,38.0
kr,in,174.0
ca,ie,76.0
ng,in,82.0
tr,id,15.0
gb,tw,94.0
tr,pl,75.0
my,in,89.0
pl,es,108.0
dk,ch,88.0
ir,se,64.0
ca,nl,114.0
dk,at,39.0
ec,pe,122.0
be,ch,161.0
ec,pt,16.0
ch,nl,238.0
gr,be,67.0
es,my,5.0
ua,ie,19.0
ru,pe,3.0
cn,mx,11.0
gr,us,139.0
gr,dk,28.0
eg,it,33.0
dk,za,4.0
ie,za,3.0
ru,eg,15.0
ch,au,90.0
nl,my,9.0
at,fr,97.0
au,ng,5.0
se,ir,4.0
be,gr,34.0
ch,ie,43.0
pk,ru,28.0
tr,pt,27.0
it,cl,35.0
co,pl,4.0
ir,pt,53.0
fi,ca,33.0
gb,pk,114.0
nl,jp,48.0
au,se,65.0
de,ru,25.0
eg,jp,79.0
dk,tr,12.0
be,za,15.0
mx,dk,17.0
ru,id,12.0
my,ca,38.0
fi,cn,55.0
dk,gr,15.0
jp,my,49.0
cl,cn,7.0
ru,ua,24.5
kr,es,50.0
tw,it,22.0
ie,at,20.0
pt,tr,14.0
in,ru,27.0
fi,in,16.0
ng,es,31.0
pe,ca,19.0
my,es,12.0
au,pl,12.0
in,br,36.0
br,fi,52.0
ie,gr,9.0
ua,nl,16.0
pt,cl,8.0
ua,au,5.0
at,ie,27.0
za,it,20.0
ru,pl,13.0
nl,ar,8.0
ir,pl,58.0
au,pe,4.0
za,jp,12.0
ru,ng,10.0
at,au,36.0
au,ua,4.0
ru,se,17.0
it,za,13.0
ru,ec,15.0
se,pk,9.0
pe,cn,7.0
pl,in,30.0
ir,id,2.0
