country_node_id,country_alpha2,springrank_score,flow_out,flow_in,flow_self,flow_total,springrank_rank
133,gy,0.08572477669700246,198.0,188.0,130.0,516.0,80
58,cn,0.0841952909689405,114283.0,76786.5,373416.5,564486.0,81
98,td,0.08085184685686546,146.0,144.0,124.0,414.0,82
184,cr,0.07939393235971005,3644.0,3019.0,12593.0,19256.0,83
108,gr,0.07932653887483247,14641.0,9780.0,40654.0,65075.0,84
37,bt,0.07753421470148034,458.0,441.0,611.0,1510.0,85
157,do,0.07531745085291308,1878.0,1536.0,5707.5,9121.5,86
18,ma,0.07396859893298967,2610.0,2009.0,13156.0,17775.0,87
149,ao,0.07390420673742397,1396.0,1325.0,3470.0,6191.0,88
198,mr,0.07334164314665277,121.0,113.0,121.0,355.0,89
41,ne,0.0725314349452172,295.0,296.0,285.0,876.0,90
29,sz,0.06906080700789669,381.0,319.0,277.0,977.0,91
47,mk,0.06769694703324472,733.0,590.0,2610.0,3933.0,92
155,ar,0.0642705265081664,13921.5,12274.5,71388.0,97584.0,93
26,ke,0.061714562475261144,5785.0,4806.5,21675.5,32267.0,94
176,al,0.05986992220545951,1028.0,828.0,3270.0,5126.0,95
170,zm,0.059820666079692754,1326.0,1137.0,2780.0,5243.0,96
45,uy,0.05685580317455995,2168.0,1899.0,8068.0,12135.0,97
145,ax,0.05593423338654884,38.0,32.0,3.0,73.0,98
166,bg,0.05523849105631711,2170.0,1771.0,12653.5,16594.5,99
147,pn,0.05486088837051069,14.0,16.0,1.0,31.0,100
141,km,0.05333185703466959,63.0,71.0,20.0,154.0,101
36,gw,0.05314598568774238,136.0,122.0,178.0,436.0,102
27,sn,0.04850535575483116,955.0,894.0,1852.0,3701.0,103
134,kz,0.04602709179159488,2643.5,2747.0,17930.5,23321.0,104
191,me,0.046025269579900836,313.0,302.0,601.0,1216.0,105
86,ss,0.04251210942009365,321.0,347.0,198.0,866.0,106
38,tr,0.039925008548943736,24885.0,19836.0,207888.5,252609.5,107
84,hr,0.0369274922831649,2544.0,2016.0,15755.0,20315.0,108
25,kh,0.03500845092850512,851.0,732.0,1033.0,2616.0,109
227,pw,0.028277357405956896,22.0,20.0,3.0,45.0,110
100,mx,0.024927391542263463,26593.0,24420.0,178378.0,229391.0,111
197,ci,0.024354121059584646,665.0,645.0,2132.0,3442.0,112
245,gs,0.020717045819493095,7.0,7.0,1.0,15.0,113
40,jo,0.020507555227041115,6402.0,5192.0,10978.0,22572.0,114
220,io,0.017747667674750143,21.0,24.0,1.0,46.0,115
48,bf,0.01565357504739658,685.0,689.0,1569.0,2943.0,116
205,pr,0.01409232581343307,2638.0,2232.0,2868.0,7738.0,117
222,nr,0.012548451705655422,16.0,16.0,3.0,35.0,118
16,cg,0.010498935171465931,220.0,239.0,251.0,710.0,119
188,mu,0.00841304426439593,336.0,314.0,482.0,1132.0,120
204,bq,0.007411645230446292,28.0,33.0,1.0,62.0,121
148,sh,0.0043783310205856765,10.0,10.0,0.0,20.0,122
1,hu,0.00386757255585269,6714.0,6166.5,21897.5,34778.0,123
109,it,0.003505909623210757,58968.0,50071.5,213439.0,322478.5,124
156,ms,0.001205463102318094,31.0,27.0,2.0,60.0,125
209,eh,0.0009061502629386563,11.0,13.0,3.0,27.0,126
212,gq,-0.000763587982737682,75.0,85.0,40.0,200.0,127
140,tt,-0.0009350255378333588,516.0,447.0,685.0,1648.0,128
124,cf,-0.003223973223528186,87.0,96.0,73.0,256.0,129
213,ga,-0.0032829765480234603,207.0,208.0,238.0,653.0,130
244,mf,-0.00528735766432834,10.0,8.0,0.0,18.0,131
162,py,-0.005362830679135898,1548.0,1661.0,7165.0,10374.0,132
130,cl,-0.008492511800752634,16632.5,15964.0,69571.0,102167.5,133
240,cx,-0.010616667912180393,10.0,11.0,0.0,21.0,134
199,tl,-0.011463153558458278,281.0,290.0,258.0,829.0,135
59,sk,-0.013575556946980472,2548.0,2296.0,9129.0,13973.0,136
128,sr,-0.018529202666859902,66.0,63.0,47.0,176.0,137
190,re,-0.023635153416053375,268.0,265.0,153.0,686.0,138
104,pl,-0.023644077456372373,14254.0,13433.0,105387.5,133074.5,139
154,lv,-0.024841255296668557,1048.0,993.5,6744.0,8785.5,140
175,pa,-0.025435929173821675,2127.0,2362.0,8819.0,13308.0,141
206,cw,-0.02712816042308204,131.0,164.0,17.0,312.0,142
238,wf,-0.029277336311923474,4.0,5.0,1.0,10.0,143
233,tc,-0.029544875777901793,59.0,66.0,6.0,131.0,144
113,th,-0.030376540515910176,8523.0,8639.0,19689.0,36851.0,145
226,bb,-0.03697957657744997,256.0,232.0,107.0,595.0,146
126,na,-0.0383984376035325,688.0,714.0,978.5,2380.5,147
85,va,-0.04082577997062121,181.0,196.0,33.0,410.0,148
70,my,-0.04376581655983469,17692.5,20638.5,50075.0,88406.0,149
43,mv,-0.04605713866994066,256.0,315.0,182.0,753.0,150
189,bw,-0.04848454229906685,942.0,1025.0,1233.0,3200.0,151
46,lt,-0.05139630447050342,1821.5,1823.0,15139.0,18783.5,152
143,tk,-0.052944206872448635,4.0,4.0,0.0,8.0,153
201,gg,-0.053856897676728056,15.0,14.0,0.0,29.0,154
78,za,-0.054505180835282496,13729.0,15729.5,96731.0,126189.5,155
87,dm,-0.054917905067304616,90.0,93.0,11.0,194.0,156
79,kr,-0.05708144768585469,26875.0,27587.5,93185.5,147648.0,157
51,fr,-0.05831459798223989,73567.5,74937.5,155506.0,304011.0,158
187,pg,-0.06049658355353293,305.0,285.0,359.0,949.0,159
178,mt,-0.06375160209117667,976.0,928.0,1635.0,3539.0,160
146,bz,-0.06825310540646425,99.0,101.0,51.0,251.0,161
74,jp,-0.07576492873326503,33783.5,37971.0,132994.0,204748.5,162
8,il,-0.08093962134375034,8769.0,9187.0,26426.5,44382.5,163
232,aq,-0.08184868503012958,46.0,48.0,4.0,98.0,164
115,si,-0.08484729112234234,1985.0,2089.0,6318.0,10392.0,165
65,fj,-0.08625060542238437,564.0,570.0,1440.0,2574.0,166
10,es,-0.08649832148621735,81675.5,93719.5,419661.5,595056.5,167
208,fm,-0.09109082959620245,20.0,21.0,5.0,46.0,168
235,vg,-0.0911583953146601,25.0,28.0,2.0,55.0,169
110,tw,-0.09307165456831593,13053.0,13958.5,44841.0,71852.5,170
196,cv,-0.09697295192317236,415.0,466.0,512.0,1393.0,171
39,pt,-0.0974903980591282,29773.0,33614.5,221144.0,284531.5,172
231,st,-0.10537442118772246,79.0,89.0,52.0,220.0,173
142,ki,-0.10922842431949892,17.0,19.0,8.0,44.0,174
247,ck,-0.11148538031587363,7.0,7.0,3.0,17.0,175
200,mq,-0.11149547108428999,75.0,87.0,40.0,202.0,176
11,om,-0.11718308688017716,1997.0,2831.0,1621.0,6449.0,177
207,lc,-0.11823556289605876,43.0,47.0,7.0,97.0,178
62,de,-0.12243227346438994,92266.0,104530.5,194985.0,391781.5,179
186,ag,-0.12386443817544307,84.0,91.0,8.0,183.0,180
15,cz,-0.1255976016288025,7997.0,9428.0,38751.5,56176.5,181
9,gb,-0.12611421897136754,163869.5,193282.0,452527.5,809679.0,182
214,vc,-0.12777201079948314,55.0,65.0,12.0,132.0,183
163,mc,-0.13383600370353302,111.0,128.0,24.0,263.0,184
150,as,-0.13580230113900604,52.0,75.0,15.0,142.0,185
135,sc,-0.13606874607566444,73.0,96.0,23.0,192.0,186
223,to,-0.13669480176245372,22.0,22.0,18.0,62.0,187
159,cy,-0.13675018912402528,3458.0,4539.0,4594.0,12591.0,188
202,vi,-0.1375946451235437,102.0,115.0,26.0,243.0,189
203,kn,-0.13759541351539895,160.0,176.0,33.0,369.0,190
107,ca,-0.13955520147100342,52734.5,61992.0,140838.0,255564.5,191
68,ai,-0.14153342900671392,27.0,32.0,2.0,61.0,192
121,sa,-0.1443299039266996,14004.0,19050.5,17571.0,50625.5,193
192,bh,-0.14536323337946502,761.0,971.0,603.5,2335.5,194
106,mp,-0.14754423447441348,24.0,26.0,4.0,54.0,195
217,sx,-0.14831726315741067,81.0,79.0,6.0,166.0,196
42,sg,-0.150784536854782,14703.5,18312.0,17335.0,50350.5,197
