country_alpha2
pe
cl
cn
my
tw
pt
pk
cz
br
id
gb
ch
ar
jp
dk
ua
tr
co
fr
se
es
ir
be
kr
gr
za
au
ec
ru
nl
at
bd
it
us
ca
in
ie
mx
fi
pl
de
ng
eg
